route_short_name,direction_id,stop_id,hour,n,mean_h,std_h,median_h,cv,ideal_wait_min,excess_wait_min,boardings,excess_pax_min
1346,I,44782893,5,16,12.895833333333334,7.045027551006769,12.425,0.5463026210796849,6.447916666666667,1.9243585083467958,4.2105913,8.102687193325995
1346,I,44782337,5,12,15.822222222222223,7.724160428226982,18.041666666666668,0.4881842967278289,7.911111111111111,1.8854069132334577,46.4787594,87.63137429127455
1346,I,45834753,5,16,12.932291666666668,7.0801425871107595,12.025000000000002,0.5474777997282584,6.466145833333334,1.9381104426768687,1.2453355,2.4135977371862194
1386,I,44783270,5,11,49.57424242424242,110.9203817112596,11.416666666666666,2.2374599446630805,24.78712121212121,124.08995556284133,0.0,0.0
12503,I,212266647,5,5,101.54666666666667,166.4179882771758,22.066666666666663,1.6388326051455073,50.77333333333333,136.36561263567924,3.0,409.09683790703775
1346,I,44783344,5,16,12.93125,7.058431411656243,12.125,0.5458429317858864,6.465625,1.9263974477740182,35.8604274,69.08143581944547
1386,I,47568385,5,11,49.557575757575755,110.96226844457297,11.383333333333333,2.239057636462583,24.778787878787877,124.2254572600161,3.5012428,434.9434878083391
1346,I,44784470,5,10,15.465,7.666262489346133,17.975,0.4957169407918612,7.7325,1.9001480942630316,38.8832339,73.8839027938687
1386,I,44784196,5,11,49.56666666666667,110.96798359814593,10.95,2.238762278375506,24.783333333333335,124.21546789346048,21.4102951,2659.4898235835644
1346,I,200498925,5,10,15.746666666666666,8.359764084922228,17.73333333333333,0.5308910299484904,7.873333333333333,2.2190618825853803,3.1630464,7.01899569908891
1346,I,45833160,5,16,12.925,7.125670046466586,11.708333333333332,0.5513090945041845,6.4625,1.9642233505265418,43.9472645,86.32224312266615
1346,I,44784471,5,10,15.76,8.394380395372979,17.78333333333333,0.5326383499602144,7.88,2.235584461364918,2.2928803,5.125927570449732
1386,I,44784333,5,11,49.57575757575758,110.96347710255256,10.9,2.238260846200632,24.78787878787879,124.18260307846188,0.0,0.0
12503,I,211299455,5,5,101.56,166.3410290804874,22.15,1.637859679799994,50.78,136.2216323136843,0.0,0.0
1346,I,44784483,5,10,15.808333333333334,8.441159905815997,17.883333333333333,0.5339689977321664,7.904166666666667,2.2536588473027583,7.5510164,17.017414915988223
1386,I,44782447,5,11,49.56969696969697,110.95268324880743,11.0,2.2383167546219864,24.784848484848485,124.17362494303595,7.6637155,951.6313341671313
1346,I,46022126,5,9,14.50925925925926,7.87928253576832,16.65,0.543052019057421,7.25462962962963,2.1394301448864312,0.0,0.0
12503,I,211299451,5,5,101.51666666666668,166.3085532643733,22.1,1.638238909187719,50.75833333333334,136.22657144420728,7.0,953.586000109451
1386,I,45833333,5,11,49.55,111.0486971166845,10.933333333333334,2.2411442404981736,24.775,124.4380739789418,0.0,0.0
1346,I,44783450,5,9,14.49814814814815,7.828581870397021,16.3,0.5399711597923605,7.249074074074075,2.1136042160438633,0.0,0.0
1386,I,44784053,5,11,86.65454545454546,151.39128163836423,13.45,1.7470668254532171,43.32727272727273,132.24534290661546,9.3878186,1241.4952899021025
12503,I,211299453,5,5,101.54666666666667,166.43788143862494,21.833333333333332,1.6390285068141899,50.77333333333333,136.3982161458333,1.0,136.3982161458333
1346,I,46021858,5,9,14.561111111111112,7.921824830301117,16.75,0.544039858624266,7.280555555555556,2.15489423036161,1.0475448,2.2573482455653067
1386,I,45834122,5,11,86.76212121212122,151.41804332038902,13.433333333333334,1.7452090982214825,43.38106060606061,132.12807341881876,20.0980976,2655.522915271385
1346,I,46021859,5,9,14.564814814814817,8.038366505504557,16.766666666666666,0.5519031040015843,7.282407407407408,2.2181997127451663,1.0679568,2.368941466984247
1320,I,45833306,5,11,53.65,130.74783193443614,8.116666666666667,2.4370518533911674,26.825,159.31962307134722,175.2060135,27913.756030653374
1346,I,44784482,5,9,14.572222222222223,8.213178209213305,17.166666666666668,0.5636187867550114,7.286111111111111,2.3145507688397506,1.0475448,2.424595622234083
1320,I,45833307,5,11,53.622727272727275,130.65157153699772,7.666666666666667,2.436496205657328,26.811363636363637,159.16602915653095,42.4504553,6756.670405987814
1346,I,45833658,5,9,14.609259259259261,8.278725192282195,17.133333333333333,0.5666765881394834,7.3046296296296305,2.3456798730534314,2.0950897,4.914409741531552
