route_short_name,direction_id,stop_id,hour,n,mean_h,std_h,median_h,cv
1346,I,46022126,5,9,14.50925925925926,7.87928253576832,16.65,0.543052019057421
12503,I,211299451,5,5,101.51666666666668,166.3085532643733,22.1,1.638238909187719
1386,I,45833333,5,11,49.55,111.0486971166845,10.933333333333334,2.2411442404981736
1346,I,44783450,5,9,14.49814814814815,7.828581870397021,16.3,0.5399711597923605
1386,I,44784053,5,11,86.65454545454546,151.39128163836423,13.45,1.7470668254532171
12503,I,211299453,5,5,101.54666666666667,166.43788143862494,21.833333333333332,1.6390285068141899
1346,I,46021858,5,9,14.561111111111112,7.921824830301117,16.75,0.544039858624266
1386,I,45834122,5,11,86.76212121212122,151.41804332038902,13.433333333333334,1.7452090982214825
1346,I,46021859,5,9,14.564814814814817,8.038366505504557,16.766666666666666,0.5519031040015843
1320,I,45833306,5,11,53.65,130.74783193443614,8.116666666666667,2.4370518533911674
1346,I,44784482,5,9,14.572222222222223,8.213178209213305,17.166666666666668,0.5636187867550114
1320,I,45833307,5,11,53.622727272727275,130.65157153699772,7.666666666666667,2.436496205657328
1346,I,45833658,5,9,14.609259259259261,8.278725192282195,17.133333333333333,0.5666765881394834
12503,I,211299448,5,5,175.92666666666668,195.12297364596625,30.85,1.1091153907648996
1320,I,45833308,5,10,58.40333333333333,136.1329715143739,8.524999999999999,2.330910989915654
1386,I,45834116,5,10,92.44833333333332,157.7007088777839,11.925,1.705825331746928
1386,I,44782440,5,10,92.50833333333333,157.6805249811572,11.899999999999999,1.7045007654930966
1346,I,45834651,5,8,16.4375,7.051692812919306,17.825,0.4290003232194255
1320,I,46021777,5,10,58.75,136.78703520436432,8.5,2.3282899609253502
1346,I,47565871,5,8,16.458333333333336,8.113517527353144,17.78333333333333,0.49297321685183654
1413,I,45834720,5,8,119.23958333333333,182.84986117514782,11.933333333333334,1.5334661197531398
1413,I,45833270,5,8,119.26666666666668,182.82012752368865,12.016666666666666,1.532868592987887
12503,I,211299447,5,5,176.23333333333335,194.9491691584131,31.0,1.1061991819089072
1386,I,44784252,5,10,92.59166666666667,157.6499137064993,12.166666666666668,1.7026360943911363
1320,I,44784235,5,10,58.80333333333333,136.79461506620467,8.600000000000001,2.326307154915334
1413,I,44783066,5,8,119.275,182.79562452975244,11.958333333333334,1.532556063967742
1346,I,45833309,5,7,18.35238095238095,6.50420760379679,18.133333333333333,0.35440674540667516
12503,I,211299444,5,5,176.20999999999998,195.37531079096627,30.933333333333337,1.108764036042031
1413,I,44783393,5,8,119.31875000000001,182.8854490136859,12.091666666666667,1.5327469405578409
1346,I,45833640,5,8,47.23541666666667,76.63086638659206,19.3,1.6223179934531904
1386,I,44784251,5,9,102.2537037037037,163.51362173365075,12.85,1.5990973022107575
1346,I,45833636,5,9,84.50555555555555,127.60744734255893,20.233333333333334,1.5100480258799953
12503,I,211299445,5,5,176.12,195.22466470994672,30.95,1.1084752708945418
1320,I,44784083,5,10,58.89,136.92127364941425,8.591666666666669,2.3250343632096153
1346,I,44165070,5,8,91.50416666666666,133.72108948967457,18.708333333333332,1.4613661252912844
1413,I,117558840,5,8,119.40208333333334,183.03169075886453,11.925,1.5329019867090359
1386,I,45833335,5,9,102.34259259259258,163.39510719798628,13.316666666666666,1.5965504005593523
12503,I,268469956,5,5,175.99666666666667,195.11621050030672,31.2,1.1086358292788123
1346,I,46021703,5,8,91.55625,133.66009645570594,18.68333333333333,1.4598686212651342
1413,I,117979075,5,8,119.52291666666666,183.41932016433987,11.741666666666667,1.5345954171773744
1320,I,48480946,5,10,59.13666666666667,137.3645261501107,9.091666666666667,2.32283173693891
1386,I,125960548,5,9,102.37592592592593,163.3041272283762,13.416666666666666,1.595141882736522
